run,tag,step,value
mc_real_v11_no_chat_spam,train/policy_gradient_loss,1024,-0.00786042
mc_real_v11_no_chat_spam,train/policy_gradient_loss,1536,-0.00402672
mc_real_v11_no_chat_spam,train/policy_gradient_loss,2048,-0.00643801
mc_real_v11_no_chat_spam,train/policy_gradient_loss,2560,0.0040837
mc_real_v11_no_chat_spam,train/policy_gradient_loss,3072,0.0146314
mc_real_v11_no_chat_spam,train/policy_gradient_loss,3584,0.0018554
mc_real_v11_no_chat_spam,train/policy_gradient_loss,4096,0.0611208
mc_real_v11_no_chat_spam,train/policy_gradient_loss,4608,0.00197389
mc_real_v11_no_chat_spam,train/policy_gradient_loss,5120,0.000230563
mc_real_v11_no_chat_spam,train/policy_gradient_loss,5632,-0.00154369
mc_real_v11_no_chat_spam,train/policy_gradient_loss,6144,-0.00354541
mc_real_v11_no_chat_spam,train/policy_gradient_loss,6656,0.00136778
mc_real_v11_no_chat_spam,train/value_loss,1024,194.135
mc_real_v11_no_chat_spam,train/value_loss,1536,21.292
mc_real_v11_no_chat_spam,train/value_loss,2048,8.229
mc_real_v11_no_chat_spam,train/value_loss,2560,6.28315
mc_real_v11_no_chat_spam,train/value_loss,3072,1.11324
mc_real_v11_no_chat_spam,train/value_loss,3584,3.04806
mc_real_v11_no_chat_spam,train/value_loss,4096,1.6989
mc_real_v11_no_chat_spam,train/value_loss,4608,2.24747
mc_real_v11_no_chat_spam,train/value_loss,5120,2.01743
mc_real_v11_no_chat_spam,train/value_loss,5632,1.94187
mc_real_v11_no_chat_spam,train/value_loss,6144,1.86032
mc_real_v11_no_chat_spam,train/value_loss,6656,1.74576
mc_real_v4_seek,mc/ep_aim_rate,512,0.396504
mc_real_v4_seek,mc/ep_aim_rate,1024,0.596504
mc_real_v4_seek,mc/ep_approach_total,512,5.80169
mc_real_v4_seek,mc/ep_approach_total,1024,5.77691
mc_real_v4_seek,mc/ep_frame_diff_mean,512,12.7708
mc_real_v4_seek,mc/ep_frame_diff_mean,1024,9.73305
mc_real_v4_seek,mc/ep_full_log_max,512,0.30497
mc_real_v4_seek,mc/ep_full_log_max,1024,0.409157
mc_real_v4_seek,mc/ep_full_log_mean,512,0.175067
mc_real_v4_seek,mc/ep_full_log_mean,1024,0.279221
mc_real_v4_seek,mc/ep_jump_rate,512,0.150343
mc_real_v4_seek,mc/ep_jump_rate,1024,0.180154
mc_real_v4_seek,mc/ep_logs_mean,512,0.9
mc_real_v4_seek,mc/ep_logs_mean,1024,0.8
mc_real_v4_seek,mc/ep_return_mean,512,50.6702
mc_real_v4_seek,mc/ep_return_mean,1024,69.0542
mc_real_v4_seek,mc/ep_yaw_rate,512,0.165787
mc_real_v4_seek,mc/ep_yaw_rate,1024,0.217103
mc_real_v4_seek,mc/episodes_seen,512,29
mc_real_v4_seek,mc/episodes_seen,1024,31
mc_real_v4_seek,time/fps,512,2
mc_real_v4_seek,time/fps,1024,2
mc_real_v4_seek,train/approx_kl,1024,0.00913279
mc_real_v4_seek,train/clip_fraction,1024,0.111328
mc_real_v4_seek,train/clip_range,1024,0.2
mc_real_v4_seek,train/entropy_loss,1024,-2.07171
mc_real_v4_seek,train/explained_variance,1024,0.000291228
mc_real_v4_seek,train/learning_rate,1024,0.00025
mc_real_v4_seek,train/loss,1024,36.9887
mc_real_v4_seek,train/policy_gradient_loss,1024,-0.000895089
mc_real_v4_seek,train/value_loss,1024,127.477
mc_real_v6_clickrespawn,mc/ep_aim_rate,512,0.249038
mc_real_v6_clickrespawn,mc/ep_approach_total,512,1.66329
mc_real_v6_clickrespawn,mc/ep_frame_diff_mean,512,12.1587
mc_real_v6_clickrespawn,mc/ep_full_log_max,512,0.0382947
mc_real_v6_clickrespawn,mc/ep_full_log_mean,512,0.025113
mc_real_v6_clickrespawn,mc/ep_jump_rate,512,0.216419
mc_real_v6_clickrespawn,mc/ep_logs_mean,512,1
mc_real_v6_clickrespawn,mc/ep_return_mean,512,28.2381
mc_real_v6_clickrespawn,mc/ep_yaw_rate,512,0.16122
mc_real_v6_clickrespawn,mc/episodes_seen,512,29
mc_real_v6_clickrespawn,time/fps,512,2
mc_real_v7_fresh_clean,mc/ep_aim_rate,512,0
mc_real_v7_fresh_clean,mc/ep_aim_rate,1024,0.00451128
mc_real_v7_fresh_clean,mc/ep_approach_total,512,0.492334
mc_real_v7_fresh_clean,mc/ep_approach_total,1024,3.15969
mc_real_v7_fresh_clean,mc/ep_frame_diff_mean,512,23.8274
mc_real_v7_fresh_clean,mc/ep_frame_diff_mean,1024,21.8781
mc_real_v7_fresh_clean,mc/ep_full_log_max,512,0.0110435
mc_real_v7_fresh_clean,mc/ep_full_log_max,1024,0.0466125
mc_real_v7_fresh_clean,mc/ep_full_log_mean,512,0.00314916
mc_real_v7_fresh_clean,mc/ep_full_log_mean,1024,0.0282213
mc_real_v7_fresh_clean,mc/ep_jump_rate,512,0.186348
mc_real_v7_fresh_clean,mc/ep_jump_rate,1024,0.183534
mc_real_v7_fresh_clean,mc/ep_logs_mean,512,1
mc_real_v7_fresh_clean,mc/ep_logs_mean,1024,1
mc_real_v7_fresh_clean,mc/ep_return_mean,512,25.7266
mc_real_v7_fresh_clean,mc/ep_return_mean,1024,30.1511
mc_real_v7_fresh_clean,mc/ep_yaw_rate,512,0.411606
mc_real_v7_fresh_clean,mc/ep_yaw_rate,1024,0.157236
mc_real_v7_fresh_clean,mc/episodes_seen,512,57
mc_real_v7_fresh_clean,mc/episodes_seen,1024,104
mc_real_v7_fresh_clean,time/fps,512,1
mc_real_v7_fresh_clean,time/fps,1024,1
mc_real_v7_fresh_clean,train/approx_kl,1024,0.0139635
mc_real_v7_fresh_clean,train/clip_fraction,1024,0.208984
mc_real_v7_fresh_clean,train/clip_range,1024,0.2
mc_real_v7_fresh_clean,train/entropy_loss,1024,-2.06395
mc_real_v7_fresh_clean,train/explained_variance,1024,-0.00552833
mc_real_v7_fresh_clean,train/learning_rate,1024,0.00025
mc_real_v7_fresh_clean,train/loss,1024,18.2906
mc_real_v7_fresh_clean,train/policy_gradient_loss,1024,0.00679092
mc_real_v7_fresh_clean,train/value_loss,1024,83.8878
mc_real_v8_robust_dismiss,mc/ep_aim_rate,512,0.078305
mc_real_v8_robust_dismiss,mc/ep_approach_total,512,6.26047
mc_real_v8_robust_dismiss,mc/ep_frame_diff_mean,512,13.3729
mc_real_v8_robust_dismiss,mc/ep_full_log_max,512,0.115989
mc_real_v8_robust_dismiss,mc/ep_full_log_mean,512,0.0563157
mc_real_v8_robust_dismiss,mc/ep_jump_rate,512,0.134201
mc_real_v8_robust_dismiss,mc/ep_logs_mean,512,1
mc_real_v8_robust_dismiss,mc/ep_return_mean,512,37.8122
mc_real_v8_robust_dismiss,mc/ep_yaw_rate,512,0.224473
mc_real_v8_robust_dismiss,mc/episodes_seen,512,18
mc_real_v8_robust_dismiss,time/fps,512,2
mc_sanity,mc/ep_aim_rate,512,0.0499932
mc_sanity,mc/ep_aim_rate,1024,0.453732
mc_sanity,mc/ep_aim_rate,1536,0.800418
mc_sanity,mc/ep_logs_mean,512,1
mc_sanity,mc/ep_logs_mean,1024,1
mc_sanity,mc/ep_logs_mean,1536,1
mc_sanity,mc/ep_return_mean,512,25.0266
mc_sanity,mc/ep_return_mean,1024,32.5538
mc_sanity,mc/ep_return_mean,1536,38.4337
mc_sanity,mc/episodes_seen,512,5
mc_sanity,mc/episodes_seen,1024,14
mc_sanity,mc/episodes_seen,1536,21
mc_sanity,time/fps,512,9
mc_sanity,time/fps,1024,9
mc_sanity,time/fps,1536,9
mc_sanity,train/approx_kl,1024,0.00987774
mc_sanity,train/approx_kl,1536,0.0156278
mc_sanity,train/clip_fraction,1024,0.116211
mc_sanity,train/clip_fraction,1536,0.101074
mc_sanity,train/clip_range,1024,0.2
mc_sanity,train/clip_range,1536,0.2
mc_sanity,train/entropy_loss,1024,-1.9393
mc_sanity,train/entropy_loss,1536,-1.92839
mc_sanity,train/explained_variance,1024,0.00519669
mc_sanity,train/explained_variance,1536,0.257442
mc_sanity,train/learning_rate,1024,0.00025
mc_sanity,train/learning_rate,1536,0.00025
mc_sanity,train/loss,1024,13.5909
mc_sanity,train/loss,1536,10.1455
mc_sanity,train/policy_gradient_loss,1024,-0.00726828
mc_sanity,train/policy_gradient_loss,1536,0.00116152
mc_sanity,train/value_loss,1024,35.8723
mc_sanity,train/value_loss,1536,38.2587
